id_commune;commune_gironde;kilometrage_bordeaux
281;Marions;80
282;Marsas;34
283;Martignas-sur-Jalle;19
284;Martillac;20
285;Martres;44
286;Masseilles;74
287;Massugas;72
288;Mauriac;62
289;Mazères;55
290;Mazion;51
291;Mérignac;6
292;Mérignas;55
293;Mesterrieux;86
294;Mios;44
295;Mombrier;42
296;Mongauzy;79
297;Monprimblanc;49
298;Monségur;90
299;Montagne;50
300;Montagoudin;77
301;Montignac;42
302;Montussan;19
303;Morizès;67
304;Mouillac;33
305;Mouliets-et-Villemartin;57
306;Moulis-en-Médoc;35
307;Moulon;38
308;Mourens;53
309;Naujac-sur-Mer;64
310;Naujan-et-Postiac;38
311;Néac;45
312;Nérigean;34
313;Neuffons;88
314;Noaillac;52
315;Noaillan;61
316;Omet;47
317;Ordonnac;67
318;Origne;48
319;Paillet;29
320;Parempuyre;18
321;Pauillac;52
322;Pellegrue;72
323;Périssac;36
324;Pessac;6
325;Pessac-sur-Dordogne;67
326;Petit-Palais-et-Cornemps;63
327;Peujard;32
328;Pineuilh;77
329;Plassac;50
330;Pleine-Selve;67
331;Podensac;42
332;Pomerol;43
333;Pompéjac;74
334;Pompignac;15
335;Pondaurat;72
336;Porchères;69
337;Porte-de-Benauge;52
338;Portets;28
339;Préchac;67
340;Preignac;46
341;Prignac-et-Marcamps;31
342;Pugnac;37
343;Puisseguin;55
344;Pujols;60
345;Pujols-sur-Ciron;44
346;Puybarban;74
347;Puynormand;67
348;Queyrac;72
349;Quinsac;16
350;Rauzan;43
351;Reignac;62
352;Rimons;72
353;Riocaud;83
354;Rions;32
355;Roaillan;55
356;Romagne;41
357;Roquebrune;85
358;Ruch;59
359;Sablons;53
360;Sadirac;22
361;Saillans;39
362;Saint-Aignan;37
363;Saint-André-de-Cubzac;26
364;Saint-André-du-Bois;58
365;Saint-André-et-Appelles;77
366;Saint-Androny;57
367;Saint-Antoine-du-Queyret;67
368;Saint-Antoine-sur-l'Isle;71
369;Saint-Aubin-de-Blaye;59
370;Saint-Aubin-de-Branne;45
371;Saint-Aubin-de-Médoc;15
372;Saint-Avit-de-Soulège;71
373;Saint-Avit-Saint-Nazaire;76
374;Saint-Brice;48
375;Saint-Caprais-de-Bordeaux ;18
376;Saint-Christoly-de-Blaye ;43
377;Saint-Christoly-Médoc;71
378;Saint-Christophe-de-Double    ;68
379;Saint-Christophe-des-Bardes   ;47
380;Saint-Cibard;53
381;Saint-Ciers-d'Abzac ;40
382;Saint-Ciers-de-Canesse;43
383;Saint-Ciers-sur-Gironde;65
384;Saint-Côme;62
385;Saint-Denis-de-Pile;42
386;Saint-Émilion;41
387;Saint-Estèphe;60
388;Saint-Étienne-de-Lisse;46
389;Saint-Exupéry;65
390;Saint-Félix-de-Foncaude;43
391;Saint-Ferme;62
392;Saint-Genès-de-Blaye;52
393;Saint-Genès-de-Castillon;49
394;Saint-Genès-de-Fronsac;33
395;Saint-Genès-de-Lombaud;23
396;Saint-Germain-d'Esteuil;62
397;Saint-Germain-de-Grave;50
398;Saint-Germain-de-la-Rivière;33
399;Saint-Germain-du-Puch;26
400;Saint-Gervais;28
401;Saint-Girons-d'Aiguevives;45
402;Saint-Hilaire-de-la-Noaille;61
403;Saint-Hilaire-du-Bois;44
404;Saint-Hippolyte;48
405;Saint-Jean-d'Illac;18
406;Saint-Jean-de-Blaignac;41
407;Saint-Julien-Beychevelle;49
408;Saint-Laurent-d'Arce;31
409;Saint-Laurent-des-Combes;43
410;Saint-Laurent-du-Bois;50
411;Saint-Laurent-du-Plan;66
412;Saint-Laurent-Médoc;44
413;Saint-Léger-de-Balson;55
414;Saint-Léon;33
415;Saint-Loubert;54
416;Saint-Loubès;20
417;Saint-Louis-de-Montferrand ;16
418;Saint-Macaire;50
419;Saint-Magne;38
420;Saint-Magne-de-Castillon;52
421;Saint-Maixant;53
422;Saint-Mariens;41
423;Saint-Martial;62
424;Saint-Martin-de-Laye;50
425;Saint-Martin-de-Lerm;87
426;Saint-Martin-de-Sescas;57
427;Saint-Martin-du-Bois;42
428;Saint-Martin-du-Puy;70
429;Saint-Martin-Lacaussade;51
430;Saint-Médard-d'Eyrans;20
431;Saint-Médard-de-Guizières;61
432;Saint-Médard-en-Jalles;15
433;Saint-Michel-de-Castelnau;95
434;Saint-Michel-de-Fronsac;37
435;Saint-Michel-de-Lapujade;83
436;Saint-Michel-de-Rieufret;34
437;Saint-Morillon;29
438;Saint-Palais;66
439;Saint-Pardon-de-Conques;56
440;Saint-Paul;49
